pointorder,lat,lon,time,ele,distance,seconds,pace
259,53.3672750,-2.9458590,2019-01-22 16:50:21,5.9,0.00524395132391,2.0,6.21391793414
260,53.3673050,-2.9459310,2019-01-22 16:50:23,5.9,0.0058265115405,2.0,5.43258566657
261,53.3673360,-2.9459960,2019-01-22 16:50:25,5.9,0.00552094587059,2.0,6.02256766663
262,53.3673530,-2.9460340,2019-01-22 16:50:26,5.9,0.00315116898205,1.0,5.17342549922
263,53.3673710,-2.9460720,2019-01-22 16:50:27,5.9,0.00321910106043,1.0,5.10645730354
264,53.3673890,-2.9461170,2019-01-22 16:50:28,5.9,0.00359446810662,1.0,4.38205278316
265,53.3674190,-2.9461860,2019-01-22 16:50:30,5.9,0.00566445468616,2.0,5.53079000682
266,53.3674360,-2.9462220,2019-01-22 16:50:31,5.9,0.00304603649111,1.0,5.28295476078
267,53.3674530,-2.9462680,2019-01-22 16:50:32,5.9,0.0035899873227,1.0,4.38552515681
268,53.3674760,-2.9463440,2019-01-22 16:50:34,5.9,0.00565392758413,2.0,5.53736401862
269,53.3674960,-2.9464150,2019-01-22 16:50:36,5.9,0.00520925906294,2.0,6.23931759937
270,53.3675240,-2.9464950,2019-01-22 16:50:38,5.9,0.00615358502496,2.0,5.25013791454
271,53.3675410,-2.9465430,2019-01-22 16:50:39,5.9,0.00370345124842,1.0,4.30018405245
272,53.3675600,-2.9465930,2019-01-22 16:50:40,5.9,0.00393301018882,1.0,4.14258176814
